,name,nickname,wins_x,losses_x,draws_x,height_x,weight,reach_x,stance,dOB,sig_strikes_landed_per_min,sig_striking_accuracy_%,sig_strike_absorbed_per_min,sig_strike_defense(%_of_sig_strikes_not_landed_by_opponent),takedown_average(average_takedown_landed_per_fifteen_min),takedown_accuracy_%,takedown_defense(%_of_opponent_takedown_not_landed),sub_average(average_subs_attempted_per_15_mins),wins_y,losses_y,draws_y,height_y,reach_y,age,nation,sig_str_accuracy,sig_str_totals,takedown_accuracy,takedown_totals,sig_str_per_minute,takedown_avg_per_fifteen,sig_str_defense,knockdown_avg,sig_str_absorbed_per_min,submission_avg_per_fifteen,takedown_defense,avg_fight_time,_merge
132,Alex Perez,596,25.0,8.0,0,"5' 6""",125 lbs.,"65""",Orthodox,"Mar 21, 1992",4.1,45%,3.13,59%,2.06,44%,82%,0.9,25.0,8.0,0.0,66.0,65.5,32.0,"Hanford, United States",46%,329 of 721,44%,7 of 25,4.1,2.06,59%,0.75,3.13,0.93,83%,06:41,both
133,Alex Reyes,The Executioner,13.0,4.0,0,"5' 11""",155 lbs.,"73""",Orthodox,"Oct 02, 1986",4.04,39%,10.91,40%,0.0,0%,0%,0.0,13.0,4.0,0.0,71.0,73.0,36.0,"Hollywood, United States",39%,20 of 51,0%,,4.04,0.0,40%,0.0,10.91,0.0,,02:29,both
135,Alex Schoenauer,699,15.0,10.0,0,"6' 3""",185 lbs.,--,Orthodox,"May 05, 1976",1.22,40%,2.27,42%,0.0,0%,22%,4.9,17.0,9.0,0.0,75.0,,45.0,Argentina,25%,1 of 4,,,3.0,0.0,43%,0.0,84.0,0.0,22%,00:20,both
136,Alex Serdyukov,The Russian Crusher,8.0,5.0,0,"6' 2""",170 lbs.,"74""",Orthodox,"May 24, 1980",4.94,48%,3.1,46%,1.84,55%,67%,1.8,12.0,5.0,0.0,74.0,,43.0,United States,48%,201 of 416,56%,,4.94,1.84,46%,0.0,3.1,1.84,68%,06:47,both
137,Alex Soto,Extremo,8.0,3.0,1,"5' 8""",135 lbs.,--,Southpaw,"Feb 15, 1984",2.95,25%,5.02,59%,2.82,30%,0%,0.0,6.0,2.0,1.0,68.0,,39.0,Mexico,25%,47 of 186,30%,,2.95,2.82,59%,0.0,5.02,0.0,,07:58,both
140,Alex Torres,Rolo,5.0,4.0,0,"5' 10""",145 lbs.,--,Orthodox,"May 29, 1988",2.47,37%,2.73,69%,2.0,22%,50%,0.0,2.0,2.0,0.0,70.0,70.0,,Colombia,37%,37 of 99,22%,,2.47,2.0,69%,0.0,2.73,0.0,50%,15:00,both
141,Alex White,The Spartan,13.0,6.0,0,"6' 0""",155 lbs.,"71""",Southpaw,"Oct 22, 1988",3.76,42%,3.07,60%,0.92,28%,71%,0.5,13.0,6.0,0.0,72.0,71.5,34.0,"Columbia, United States",42%,431 of 1026,28%,5 of 25,3.76,0.92,61%,0.52,3.07,0.52,71%,11:28,both
144,Alexa Grasso,284,16.0,3.0,1,"5' 5""",125 lbs.,"66""",Orthodox,"Aug 09, 1993",4.67,43%,3.95,58%,0.41,45%,59%,0.6,16.0,3.0,1.0,65.0,66.0,30.0,"Guadalajara, Mexico",43%,846 of 1963,45%,1 of 11,4.67,0.41,59%,0.08,3.95,0.58,59%,15:06,both
146,Alexander Gustafsson,The Mauler,18.0,8.0,0,"6' 5""",205 lbs.,"79""",Orthodox,"Jan 15, 1987",4.03,40%,3.53,51%,1.53,39%,83%,0.4,18.0,8.0,0.0,77.0,79.0,36.0,"Arboga, Sweden",41%,751 of 1845,40%,18 of 48,4.03,1.53,51%,0.72,3.53,0.4,84%,10:22,both
147,Alexander Hernandez,The Great Ape,14.0,8.0,0,"5' 9""",145 lbs.,"72""",Orthodox,"Oct 01, 1992",4.33,41%,4.66,55%,1.06,31%,59%,0.1,14.0,8.0,0.0,69.0,72.0,31.0,"St. Louis, United States",41%,554 of 1340,31%,4 of 29,4.33,1.06,56%,0.47,4.66,0.12,59%,09:50,both
148,Alexander Morgan,The Chess Master,11.0,5.0,0,"5' 10""",145 lbs.,"71""",Orthodox,"May 14, 1991",3.71,44%,2.78,47%,0.0,0%,0%,0.0,0.0,1.0,0.0,,,32.0,"Montreal, Canada",44%,12 of 27,,,3.71,0.0,47%,0.0,2.78,0.0,,03:14,both
149,Alexander Munoz,530,7.0,2.0,0,"5' 9""",155 lbs.,"72""",Switch,"Feb 27, 1990",3.7,42%,4.73,55%,3.0,40%,100%,0.0,7.0,2.0,0.0,69.0,72.0,33.0,United States,43%,222 of 520,40%,5 of 30,3.7,3.0,55%,0.25,4.73,0.0,100%,15:00,both
151,Alexander Poppeck,611,9.0,3.0,0,"6' 2""",205 lbs.,--,Orthodox,"Apr 06, 1992",4.01,57%,9.81,33%,0.0,0%,0%,0.0,0.0,0.0,0.0,,,31.0,,58%,38 of 66,0%,,4.01,0.0,33%,0.0,9.81,0.0,,09:29,both
154,Alexander Soldatkin,733,14.0,4.0,0,"6' 2""",250 lbs.,"75""",Orthodox,"Jun 10, 1993",1.16,60%,1.35,26%,1.45,50%,50%,0.0,0.0,1.0,0.0,,,30.0,,60%,12 of 20,50%,,1.16,1.45,26%,0.0,1.35,0.0,50%,10:20,both
156,Alexander Volkanovski,The Great,26.0,4.0,0,"5' 6""",145 lbs.,"71""",Orthodox,"Sep 29, 1988",6.16,56%,3.44,58%,1.78,37%,70%,0.2,26.0,4.0,0.0,66.0,71.5,35.0,"Wollongong, Australia",57%,1559 of 2759,38%,16 of 79,6.16,1.78,58%,0.36,3.44,0.18,70%,15:49,both
157,Alexander Volkov,Drago,37.0,10.0,0,"6' 7""",250 lbs.,"80""",Orthodox,"Oct 24, 1988",5.1,57%,3.0,54%,0.49,63%,73%,0.2,37.0,10.0,0.0,79.0,80.0,35.0,"Moscow, Russia",58%,1102 of 1905,64%,5 of 11,5.1,0.49,54%,0.28,3.0,0.21,73%,12:43,both
158,Alexander Yakovlev,Russian Thunder,24.0,10.0,1,"6' 3""",155 lbs.,"74""",Southpaw,"Jul 18, 1984",1.74,47%,2.41,58%,1.66,35%,72%,0.1,24.0,10.0,1.0,75.0,74.0,38.0,"Great Novgorod, Russia",47%,173 of 365,35%,6 of 31,1.74,1.66,59%,0.3,2.41,0.15,72%,11:01,both
159,Alexandr Romanov,King Kong,17.0,2.0,0,"6' 2""",262 lbs.,"75""",Southpaw,"Dec 11, 1990",4.06,52%,2.2,50%,4.32,54%,20%,0.9,17.0,2.0,0.0,74.0,75.0,33.0,"Comrat City, Moldova",52%,282 of 542,54%,13 of 37,4.06,4.32,51%,0.0,2.2,0.86,20%,08:41,both
161,Alexandre Barros,Baixinho,22.0,11.0,0,"5' 9""",170 lbs.,--,Southpaw,"Nov 19, 1976",0.98,40%,4.05,36%,1.84,50%,100%,0.0,13.0,6.0,0.0,69.0,,,United States,40%,8 of 20,50%,,0.98,1.84,37%,0.0,4.05,0.0,100%,08:09,both
162,Alexandre Dantas,Cafe,0.0,3.0,0,"6' 2""",238 lbs.,--,Orthodox,"Mar 01, 1979",0.21,25%,1.87,60%,0.0,0%,0%,3.1,3.0,2.0,0.0,74.0,,44.0,United States,25%,1 of 4,0%,,0.21,0.0,61%,0.0,1.87,3.11,,04:49,both
163,Alexandre Ferreira,Cacareco,18.0,6.0,0,"5' 7""",205 lbs.,--,Orthodox,"Apr 25, 1979",2.57,60%,8.14,42%,0.0,0%,0%,0.0,18.0,7.0,0.0,67.0,,44.0,United States,60%,6 of 10,0%,,2.57,0.0,42%,0.0,8.14,0.0,,02:20,both
166,Alexandre Pantoja,The Cannibal,28.0,5.0,0,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 16, 1990",4.41,49%,3.97,50%,2.61,47%,68%,0.8,28.0,5.0,0.0,65.0,67.0,34.0,"Rio de Janeiro, Brazil",50%,861 of 1731,48%,3 of 71,4.41,2.61,50%,0.31,3.97,0.84,68%,13:01,both
168,Alexis Davis,157,21.0,11.0,0,"5' 6""",135 lbs.,"68""",Orthodox,"Oct 04, 1984",4.63,49%,4.45,54%,0.95,44%,34%,0.7,21.0,11.0,0.0,66.0,68.0,38.0,"Niagara Falls, Canada",49%,954 of 1936,45%,6 of 29,4.63,0.95,55%,0.0,4.45,0.65,35%,13:00,both
169,Alexis Dufresne,Sneaky Zebra,6.0,3.0,0,"5' 9""",135 lbs.,--,Orthodox,"Aug 31, 1990",1.33,27%,3.33,60%,1.5,50%,50%,0.0,5.0,2.0,0.0,69.0,68.0,,United States,28%,40 of 144,50%,,1.33,1.5,61%,0.0,3.33,0.0,50%,15:00,both
170,Alfonso Alcarez,8,1.0,3.0,1,"5' 3""",145 lbs.,--,,"Jun 10, 1970",0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,75.0,,53.0,United States,,,63%,17 of 27,,,,,,,,,both
171,Alfred Khashakyan,The Fearless,8.0,3.0,0,"5' 8""",135 lbs.,"70""",Orthodox,"Jul 17, 1988",6.14,42%,6.38,40%,3.54,25%,0%,0.0,8.0,4.0,0.0,68.0,70.0,34.0,,43%,26 of 61,25%,,6.14,3.54,40%,0.0,6.38,0.0,,04:14,both
172,Ali AlQaisi,The Royal Fighter,8.0,5.0,0,"5' 6""",135 lbs.,"68""",Orthodox,"Sep 23, 1990",2.43,42%,1.97,56%,3.5,29%,60%,1.0,8.0,5.0,0.0,68.0,68.0,32.0,"Amman, Jordan",42%,73 of 172,29%,,2.43,3.5,56%,0.0,1.97,1.0,60%,15:00,both
173,Ali Bagautinov,Puncher,15.0,6.0,0,"5' 4""",125 lbs.,"65""",Orthodox,"Jun 10, 1985",2.85,42%,3.09,52%,2.51,36%,65%,0.3,14.0,5.0,0.0,65.0,65.0,38.0,Russia,42%,323 of 761,37%,,2.85,2.51,52%,0.26,3.09,0.26,65%,16:13,both
174,Aliaskhab Khizriev,Black Wolf,14.0,0.0,0 (1 NC),"5' 9""",185 lbs.,"74""",Southpaw,"Aug 24, 1990",6.01,64%,4.38,61%,5.64,60%,100%,3.8,14.0,0.0,0.0,69.0,74.0,33.0,"Makhachkala, Russia",64%,48 of 75,60%,2 of 5,6.01,5.64,62%,0.0,4.38,3.76,100%,02:40,both
176,Alistair Overeem,The Demolition Man,47.0,19.0,0 (1 NC),"6' 4""",265 lbs.,"80""",Orthodox,"May 17, 1980",3.67,64%,2.44,57%,1.42,55%,73%,0.8,47.0,19.0,0.0,76.0,80.0,43.0,"Hounslow, United Kingdom",64%,1321 of 2064,56%,3 of 61,3.67,1.42,57%,0.79,2.44,0.83,73%,07:18,both
177,Aljamain Sterling,Funk Master,24.0,4.0,0,"5' 7""",145 lbs.,"71""",Orthodox,"Jul 31, 1989",4.61,52%,2.3,58%,2.31,27%,45%,0.7,24.0,4.0,0.0,67.0,71.0,34.0,United States,53%,1225 of 2333,28%,21 of 149,4.61,2.31,58%,0.0,2.3,0.73,45%,13:17,both
178,Allan Begosso,Mini,7.0,2.0,1,"5' 5""",135 lbs.,"66""",Orthodox,"Nov 23, 1995",1.8,40%,7.73,34%,0.0,0%,25%,2.0,0.0,1.0,0.0,,,27.0,,40%,27 of 67,,,1.8,0.0,34%,0.0,7.73,2.0,25%,15:00,both
179,Allan Goes,269,10.0,5.0,2,"6' 0""",205 lbs.,--,Orthodox,"Apr 20, 1971",0.64,52%,1.35,41%,1.75,40%,0%,2.6,0.0,0.0,0.0,0.0,,,Brazil,,,47%,15 of 64,,,,,,,,,both
180,Allan Nascimento,Puro Osso,20.0,6.0,0,"5' 8""",125 lbs.,"69""",Orthodox,"Sep 11, 1991",3.21,61%,2.28,50%,1.55,26%,16%,0.9,20.0,6.0,0.0,68.5,69.5,31.0,"São Paulo, Brazil",61%,155 of 254,26%,,3.21,1.55,50%,0.0,2.28,0.93,17%,12:04,both
181,Allan Zuniga,Tigre,13.0,1.0,0,"5' 7""",155 lbs.,"70""",Orthodox,"Apr 04, 1992",3.93,52%,1.8,61%,0.0,0%,57%,1.0,13.0,2.0,0.0,67.0,70.0,31.0,"San José Province, Costa Rica",53%,59 of 112,,,3.93,0.0,62%,0.0,1.8,1.0,58%,15:00,both
182,Allen Berube,Monstah Lobstah,4.0,3.0,0,"5' 8""",155 lbs.,--,Orthodox,"Aug 25, 1974",0.92,80%,0.92,33%,6.87,100%,0%,3.4,2.0,1.0,0.0,68.0,,48.0,United States,80%,4 of 5,100%,,0.92,6.87,33%,0.0,0.92,3.44,,04:22,both
183,Allen Crowder,Pretty Boy,10.0,4.0,0 (1 NC),"6' 3""",245 lbs.,"76""",Orthodox,"Nov 08, 1989",2.95,51%,2.95,56%,1.85,33%,100%,1.2,10.0,4.0,0.0,75.0,76.0,33.0,"Burlington, United States",51%,72 of 141,33%,,2.95,1.85,57%,0.0,2.95,1.23,100%,06:06,both
185,Alonzo Menifield,Atomic,15.0,3.0,1,"6' 0""",205 lbs.,"76""",Orthodox,"Oct 18, 1987",3.92,57%,3.51,49%,0.67,33%,75%,0.3,15.0,3.0,1.0,72.0,76.0,36.0,"Los Angeles, United States",58%,436 of 755,33%,,3.92,0.67,50%,0.81,3.51,0.27,76%,07:25,both
186,Alptekin Ozkilic,The Turkish Delight,9.0,5.0,0,"5' 5""",125 lbs.,"65""",Orthodox,"Mar 27, 1986",3.81,32%,5.72,59%,4.21,58%,75%,0.0,9.0,3.0,0.0,65.0,65.0,35.0,Turkey,32%,190 of 588,58%,,3.81,4.21,59%,0.0,5.72,0.0,75%,12:28,both
187,Alton Cunningham,The BoMan,4.0,2.0,0,"6' 2""",205 lbs.,"77""",Orthodox,"Jun 24, 1993",3.33,75%,4.94,20%,1.67,10%,100%,0.0,7.0,2.0,0.0,74.0,77.5,29.0,"Memphis, United States",76%,60 of 79,10%,,3.33,1.67,21%,0.0,4.94,0.0,100%,09:01,both
193,Alvin Robinson,Kid,15.0,9.0,0,"5' 9""",155 lbs.,"68""",Southpaw,"Jul 16, 1982",1.57,50%,1.29,51%,1.24,50%,25%,1.2,10.0,4.0,0.0,68.0,,40.0,"West Covina, United States",50%,57 of 113,50%,,1.57,1.24,51%,0.0,1.29,1.24,25%,09:06,both
195,Amanda Cooper,ABC,3.0,5.0,0,"5' 3""",115 lbs.,"64""",Switch,"Oct 22, 1991",3.55,44%,3.2,51%,1.53,38%,28%,1.8,4.0,5.0,0.0,63.0,64.0,31.0,"Lansing, United States",44%,174 of 394,38%,3 of 13,3.55,1.53,52%,0.0,3.2,1.83,29%,08:11,both
196,Amanda Lemos,427,14.0,3.0,1,"5' 4""",115 lbs.,"65""",Southpaw,"May 22, 1987",3.43,54%,4.21,44%,0.98,63%,57%,0.7,14.0,3.0,1.0,64.0,65.0,36.0,"Belém, Brazil",55%,366 of 668,64%,1 of 11,3.43,0.98,44%,0.84,4.21,0.7,57%,09:42,both
197,Amanda Nunes,The Lioness,23.0,5.0,0,"5' 8""",135 lbs.,"69""",Orthodox,"May 30, 1988",4.55,51%,2.62,57%,2.73,54%,82%,0.7,23.0,5.0,0.0,68.0,69.0,35.0,"Pojuca, Brazil",52%,975 of 1881,55%,11 of 71,4.55,2.73,58%,0.63,2.62,0.7,82%,10:44,both
198,Amanda Ribas,636,12.0,5.0,0,"5' 3""",125 lbs.,"66""",Orthodox,"Aug 26, 1993",4.63,40%,3.4,61%,2.07,51%,85%,0.7,12.0,5.0,0.0,64.0,66.0,30.0,"Varginha, Brazil",40%,639 of 1589,51%,2 of 37,4.63,2.07,61%,0.11,3.4,0.65,85%,12:33,both
199,Amar Suloev,757,24.0,7.0,0,"5' 9""",183 lbs.,--,Orthodox,"Jul 01, 1976",1.98,37%,2.19,70%,0.27,100%,88%,0.3,36.0,6.0,0.0,69.0,,44.0,Armenia,42%,35 of 84,100%,,1.95,0.83,71%,0.0,6.9,0.83,88%,09:00,both
200,Amaury Bitetti,72,5.0,2.0,0,"5' 9""",185 lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,,54.0,Brazil,,,43%,26 of 60,,,,,,,,00:00,both
202,Amilcar Alves,The Terminator,15.0,12.0,0,"6' 0""",170 lbs.,--,Southpaw,"Aug 08, 1988",0.5,46%,2.02,30%,0.0,0%,53%,0.0,11.0,3.0,0.0,72.0,,43.0,Brazil,47%,14 of 30,0%,,0.5,0.0,30%,0.0,2.02,0.0,53%,14:06,both
203,Amir Albazi,The Prince,17.0,1.0,0,"5' 5""",125 lbs.,"68""",Orthodox,"Oct 27, 1993",2.8,39%,3.07,63%,1.71,33%,40%,0.7,17.0,1.0,0.0,65.0,68.0,30.0,"Baghdad, Iraq",39%,172 of 441,33%,3 of 21,2.8,1.71,63%,0.49,3.07,0.73,40%,12:18,both
204,Amir Aliakbari,14,10.0,1.0,0,"6' 3""",250 lbs.,--,,"Jun 10, 1984",0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,,,39.0,,,,38%,1 of 13,,,,,,,,,both
206,Amir Sadollah,666,6.0,5.0,0,"5' 10""",170 lbs.,"75""",Orthodox,"Aug 27, 1980",4.71,46%,3.55,60%,0.57,27%,60%,0.3,7.0,5.0,0.0,71.0,74.0,42.0,United States,46%,621 of 1336,28%,,4.71,0.57,61%,0.0,3.55,0.34,61%,12:00,both
207,Amiran Gogoladze,271,14.0,3.0,0,"6' 1""",170 lbs.,"74""",Switch,"Dec 09, 1997",1.64,66%,0.82,0%,0.0,0%,0%,0.0,0.0,1.0,0.0,,,25.0,,67%,2 of 3,0%,,1.64,0.0,,0.0,0.82,0.0,,01:13,both
211,Anderson Silva,The Spider,34.0,11.0,0 (1 NC),"6' 2""",185 lbs.,"77""",Southpaw,"Apr 14, 1975",3.05,61%,2.05,60%,0.5,77%,69%,0.8,34.0,11.0,0.0,74.0,77.0,48.0,"State of Sao Paulo, Brazil",62%,1282 of 2084,78%,3 of 18,3.05,0.5,61%,0.86,2.05,0.79,69%,10:15,both
214,Andre Ewell,Mr Highlight,17.0,9.0,0,"5' 8""",145 lbs.,"75""",Southpaw,"Jan 21, 1988",4.28,40%,4.87,51%,0.36,75%,72%,0.1,17.0,9.0,0.0,71.0,76.0,35.0,"Anaheim, United States",40%,540 of 1349,75%,1 of 4,4.28,0.36,51%,0.12,4.87,0.12,73%,14:02,both
215,Andre Fialho,229,16.0,8.0,0 (1 NC),"6' 0""",170 lbs.,"74""",Orthodox,"Apr 07, 1994",3.3,41%,6.26,45%,0.25,100%,66%,0.0,16.0,8.0,0.0,72.0,74.0,29.0,"Cascais, Portugal",42%,202 of 486,100%,,3.3,0.25,46%,0.49,6.26,0.0,67%,08:44,both
216,Andre Fili,Touchy,23.0,11.0,0 (1 NC),"5' 11""",145 lbs.,"74""",Orthodox,"Jun 25, 1990",3.85,37%,4.11,51%,2.16,47%,69%,0.3,23.0,11.0,0.0,71.0,74.0,33.0,"Federal Way, United States",37%,881 of 2355,48%,23 of 69,3.85,2.16,51%,0.39,4.11,0.26,69%,10:25,both
218,Andre Gusmao,293,6.0,3.0,0,"6' 0""",205 lbs.,--,Orthodox,"May 19, 1977",2.79,43%,3.28,60%,0.0,0%,60%,0.0,5.0,2.0,0.0,74.0,,46.0,Brazil,44%,51 of 117,0%,,2.79,0.0,61%,0.0,3.28,0.0,60%,09:09,both
219,Andre Lima,Mascote,8.0,0.0,0,"5' 7""",125 lbs.,"67""",Orthodox,"Feb 04, 1999",3.98,60%,2.67,60%,1.31,66%,61%,1.3,8.0,0.0,0.0,67.0,67.5,25.0,"State of Bahia, Brazil",61%,91 of 150,67%,1 of 3,3.98,1.31,61%,0.0,2.67,1.31,62%,11:26,both
220,Andre Muniz,Sergipano,24.0,6.0,0,"6' 1""",185 lbs.,"78""",Southpaw,"Feb 17, 1990",1.97,50%,1.99,54%,4.23,50%,35%,1.2,24.0,6.0,0.0,73.0,78.0,33.0,"Montes Claros, Brazil",50%,189 of 378,50%,3 of 54,1.97,4.23,54%,0.0,1.99,1.25,36%,09:35,both
222,Andre Pederneiras,591,1.0,1.0,2,"5' 8""",155 lbs.,--,Orthodox,"Mar 22, 1967",0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,,56.0,Brazil,,,50%,,,,,,,,,,both
223,Andre Petroski,600,10.0,4.0,0,"6' 0""",185 lbs.,"73""",Switch,"Jun 12, 1991",3.5,49%,3.08,51%,4.32,54%,80%,2.3,10.0,4.0,0.0,72.0,73.0,32.0,United States,50%,231 of 463,54%,8 of 35,3.5,4.32,52%,0.23,3.08,2.27,80%,09:26,both
224,Andre Roberts,The Chief,14.0,2.0,1,"6' 2""",345 lbs.,--,Orthodox,"Feb 24, 1965",0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,,58.0,United States,,,10%,,,,,,,,,,both
226,Andre Soukhamthath,The Asian Sensation,13.0,8.0,0,"5' 9""",135 lbs.,"70""",Orthodox,"Oct 23, 1988",2.77,44%,4.31,49%,1.25,53%,58%,0.2,13.0,8.0,0.0,69.0,70.0,34.0,"Providence, United States",44%,266 of 604,53%,4 of 15,2.77,1.25,50%,0.94,4.31,0.16,59%,13:44,both
228,Andre Winner,831,21.0,11.0,2,"5' 11""",155 lbs.,"73""",Orthodox,"Nov 09, 1981",2.52,33%,4.57,51%,0.0,0%,74%,0.0,12.0,6.0,1.0,71.0,,41.0,United States,33%,169 of 505,0%,,2.52,0.0,52%,0.45,4.57,0.0,74%,11:10,both
229,Andrea Lee,KGB,13.0,9.0,0,"5' 6""",125 lbs.,"69""",Orthodox,"Feb 11, 1989",4.69,46%,3.76,62%,1.85,58%,55%,0.6,13.0,9.0,0.0,66.0,69.5,35.0,"Atlanta, United States",47%,796 of 1705,58%,3 of 36,4.69,1.85,63%,0.09,3.76,0.62,55%,14:09,both
230,Andreas Michailidis,The Spartan,13.0,6.0,0,"6' 0""",170 lbs.,"76""",Orthodox,"Jul 18, 1988",2.9,51%,3.57,44%,1.12,27%,50%,0.0,13.0,6.0,0.0,72.0,76.0,34.0,"Athens, Greece",52%,117 of 227,27%,3 of 11,2.9,1.12,44%,0.0,3.57,0.0,50%,10:05,both
231,Andreas Spang,Sweet Swede,9.0,3.0,0,"6' 1""",185 lbs.,--,,"Nov 07, 1978",0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,,,44.0,United States,9%,5 of 57,,,,,,,,,,,both
232,Andreas Stahl,Real Steel,10.0,4.0,0,"5' 11""",170 lbs.,--,Orthodox,"May 20, 1988",2.83,37%,4.74,57%,1.55,66%,80%,0.0,9.0,2.0,0.0,71.0,73.0,35.0,"Orjan, Sweden",38%,55 of 145,67%,,2.83,1.55,58%,0.0,4.74,0.0,80%,09:43,both
233,Andrei Arlovski,The Pitbull,34.0,23.0,0 (2 NC),"6' 3""",240 lbs.,"77""",Orthodox,"Feb 04, 1979",3.78,45%,3.2,57%,0.38,36%,76%,0.2,34.0,23.0,0.0,75.0,77.0,44.0,United States,45%,1647 of 3642,37%,7 of 30,3.78,0.38,58%,0.41,3.2,0.21,77%,09:16,both
235,Andrei Semenov,705,34.0,9.0,2,"6' 0""",185 lbs.,--,Orthodox,"Jun 17, 1977",0.78,15%,2.44,60%,1.74,80%,55%,0.4,21.0,3.0,0.0,72.0,,45.0,Russia,13%,10 of 75,50%,,0.51,0.77,61%,0.77,4.32,0.77,56%,09:44,both
236,Andrew Craig,Highlight,9.0,4.0,0,"6' 1""",170 lbs.,"76""",Orthodox,"Jan 15, 1986",2.39,40%,3.01,50%,0.53,37%,72%,0.0,9.0,4.0,0.0,73.0,76.0,37.0,United States,40%,205 of 512,38%,,2.39,0.53,51%,0.35,3.01,0.0,72%,12:14,both
237,Andrew Holbrook,319,12.0,3.0,0,"5' 11""",155 lbs.,"70""",Southpaw,"Feb 06, 1986",2.2,49%,3.0,54%,0.85,18%,10%,2.1,12.0,2.0,0.0,71.0,70.0,37.0,"Adrian, United States",49%,78 of 158,18%,2 of 11,2.2,0.85,54%,0.0,3.0,2.12,10%,07:05,both
241,Andrew Sanchez,El Dirte,13.0,7.0,0,"6' 1""",185 lbs.,"74""",Orthodox,"Apr 08, 1988",4.3,43%,5.1,50%,2.55,36%,100%,0.0,13.0,7.0,0.0,73.0,74.0,35.0,"Belleville, United States",44%,557 of 1275,37%,13 of 60,4.3,2.55,51%,0.35,5.1,0.0,100%,12:58,both
242,Andrew Todhunter,The Sniper,8.0,0.0,0,"6' 0""",185 lbs.,--,Switch,"Nov 30, 1987",0.0,0%,0.0,0%,0.0,0%,0%,0.0,8.0,0.0,0.0,72.0,72.0,35.0,"Tulsa, United States",,,0%,,,,,,,,,00:00,both
247,Andy Anderson,The Hammer,0.0,1.0,0,"5' 6""",240 lbs.,--,,"Jul 16, 1974",0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,,58.0,United States,,,25%,,,,,,,,,,both
248,Andy Enz,Tank Mode,10.0,4.0,0,"6' 3""",185 lbs.,"78""",Orthodox,"Aug 15, 1991",3.51,23%,5.32,57%,0.0,0%,58%,0.0,8.0,3.0,0.0,75.0,78.0,31.0,United States,23%,112 of 482,0%,,3.51,0.0,58%,0.0,5.32,0.0,58%,10:39,both
250,Andy Ogle,The Little Axe,9.0,6.0,0,"5' 8""",145 lbs.,"69""",Orthodox,"Feb 16, 1989",2.24,44%,2.23,50%,1.44,26%,58%,0.0,9.0,6.0,0.0,68.0,69.0,34.0,United States,45%,163 of 363,27%,,2.24,1.44,50%,0.21,2.23,0.0,58%,12:08,both
253,Andy Wang,The Yellow Peril,7.0,8.0,1 (1 NC),"5' 6""",155 lbs.,--,Orthodox,"May 28, 1977",3.43,36%,10.29,62%,0.0,0%,0%,0.0,8.0,6.0,0.0,66.0,,46.0,United States,36%,4 of 11,0%,,3.43,0.0,63%,0.0,10.29,0.0,,01:10,both
256,Ange Loosa,The Last Ninja,10.0,3.0,0 (1 NC),"5' 10""",170 lbs.,"74""",Orthodox,"Mar 18, 1993",6.09,46%,6.67,52%,2.05,42%,90%,0.2,10.0,3.0,0.0,70.0,74.0,30.0,Congo - Kinshasa,46%,402 of 867,43%,,6.09,2.05,52%,0.0,6.67,0.23,91%,13:12,both
257,Angel De Anda,The Dream,18.0,6.0,0,"5' 9""",225 lbs.,--,Orthodox,"May 28, 1985",5.68,46%,6.32,47%,0.0,0%,0%,0.0,18.0,6.0,0.0,69.0,,38.0,"Modesto, United States",46%,18 of 39,,,5.68,0.0,47%,4.74,6.32,0.0,,03:10,both
258,Angel Pacheco,574,7.0,3.0,0,"5' 8""",135 lbs.,"70""",Orthodox,"Jan 13, 1992",9.5,39%,11.47,41%,0.0,0%,28%,0.0,7.0,3.0,0.0,68.0,70.0,32.0,"Willmar, United States",39%,285 of 725,0%,,9.5,0.0,41%,0.0,11.47,0.0,29%,15:00,both
259,Angela Hill,Overkill,16.0,13.0,0,"5' 3""",115 lbs.,"64""",Orthodox,"Jan 12, 1985",5.44,50%,4.94,61%,0.73,34%,75%,0.1,16.0,13.0,0.0,63.0,64.5,39.0,"Clinton, United States",50%,1896 of 3783,34%,3 of 50,5.44,0.73,61%,0.13,4.94,0.09,76%,14:31,both
260,Angela Magana,Your Majesty,11.0,9.0,0,"5' 1""",115 lbs.,"65""",Orthodox,"Aug 02, 1983",1.53,28%,4.92,42%,0.4,25%,28%,0.4,11.0,9.0,0.0,61.0,65.0,39.0,"Los Angeles, United States",29%,57 of 200,25%,,1.53,0.4,42%,0.0,4.92,0.4,29%,12:24,both
262,Angelo Trevino,Baby Monsta,7.0,3.0,0,"5' 11""",170 lbs.,--,Switch,"Jun 10, 1993",5.19,54%,3.9,47%,0.0,0%,100%,0.0,7.0,2.0,0.0,0.0,,30.0,"San Mateo, United States",55%,40 of 73,0%,,5.19,0.0,47%,1.95,3.9,0.0,100%,07:42,both
