name,wins,losses,draws,height,reach,age,nation,sig_str_accuracy,sig_str_totals,takedown_accuracy,takedown_totals,sig_str_per_minute,takedown_avg_per_fifteen,sig_str_defense,knockdown_avg,sig_str_absorbed_per_min,submission_avg_per_fifteen,takedown_defense,avg_fight_time
Maycee Barber,13,2,0,65.00,65.00,25,"Greeley, United States",53%,603 of 1143,36%,1 of 28,4.60,1.14,55%,0.00,2.72,0.11,45%,11:55
Bryan Barberena,18,11,0,72.00,72.50,34,"Montclair, United States",48%,1179 of 2442,22%,2 of 9,5.53,0.14,44%,0.42,4.74,0.28,50%,11:51
Edson Barboza,24,11,0,71.00,75.00,37,"Nova Friburgo, Brazil",45%,1426 of 3169,50%,7 of 22,4.18,0.48,58%,0.70,4.34,0.09,75%,11:45
Raoni Barcelos,17,5,0,67.50,67.00,36,"State of Rio de Janeiro, Brazil",52%,673 of 1306,38%,3 of 40,5.38,1.80,61%,0.60,5.03,0.36,90%,12:31
Carlos Baretto,0,0,0,0.00,,,"Rio de Janeiro, Brazil",,,38%,3 of 40,,,,,,,,
Daniel Barez,16,6,0,66.00,66.00,34,Spain,53%,70 of 132,31%,,3.80,4.07,55%,0.81,5.32,1.63,92%,09:13
Danny Barlow,1,0,0,,,28,"Memphis, United States",57%,16 of 28,,,12.15,0.00,61%,0.00,5.32,0.00,,01:19
Luke Barnatt,8,3,0,78.00,77.00,35,United States,36%,317 of 870,43%,,4.43,0.63,59%,0.42,3.87,0.42,64%,11:56
James Barnes,0,1,0,68.00,71.00,41,"Los Angeles, United States",35%,8 of 23,17%,,0.57,1.08,39%,0.00,3.02,0.00,40%,07:49
Shonte Barnes,0,1,0,71.00,76.00,36,"Wilson, United States",38%,18 of 47,0%,,2.32,0.00,68%,0.00,1.55,0.00,60%,07:46
Chris Barnett,23,8,0,69.00,75.00,37,Spain,49%,148 of 305,0%,,4.41,0.00,41%,0.45,5.87,0.00,33%,08:23
Josh Barnett,35,8,0,75.00,78.00,46,"Seattle, United States",51%,802 of 1575,55%,5 of 38,3.20,1.26,57%,0.18,2.11,1.38,56%,09:37
David Baron,14,3,0,66.00,,50,"Bois-Colombes, France",44%,7 of 16,0%,,0.53,0.00,56%,0.00,3.23,1.13,14%,13:19
Phil Baroni,13,13,0,69.00,72.00,46,"Long Island, United States",45%,512 of 1130,47%,,2.77,1.46,41%,0.65,3.93,0.49,60%,09:14
Dan Barrera,1,1,0,69.00,,42,"Radcliff, United States",71%,12 of 17,8%,,0.80,1.00,28%,0.00,1.20,0.00,,15:00
Peter Barrett,11,5,0,70.00,73.00,36,"Weymouth, United States",61%,180 of 294,22%,,4.18,1.39,42%,0.00,4.32,0.00,67%,14:21
Marc-Andre Barriault,16,6,0,73.00,74.00,33,"Gatineau, Canada",47%,736 of 1554,25%,1 of 8,5.95,0.24,54%,0.36,5.22,0.12,67%,11:15
Alexandre Barros,13,6,0,69.00,,,United States,40%,8 of 20,50%,,0.98,1.84,37%,0.00,4.05,0.00,100%,08:09
Francimar Barroso,19,7,0,73.00,75.00,43,United States,53%,318 of 603,24%,,2.77,2.22,59%,0.00,3.07,0.00,83%,12:45
Pat Barry,8,7,0,71.00,74.00,43,"New Orleans, United States",52%,188 of 361,0%,,2.72,0.00,60%,1.74,3.54,0.22,76%,05:46
Dean Barry,4,2,0,70.00,72.00,30,,40%,36 of 90,,,9.31,0.00,51%,3.88,4.66,0.00,100%,03:52
Enrique Barzola,17,5,2,67.00,70.00,34,"Lima, Peru",42%,587 of 1412,46%,37 of 92,3.91,4.20,69%,0.00,2.97,0.30,67%,15:00
Farid Basharat,11,0,0,68.00,71.00,26,"Paktia, Afghanistan",64%,178 of 279,53%,3 of 15,5.20,3.50,58%,0.00,2.34,0.44,83%,11:25
Javid Basharat,14,0,0,69.00,69.00,28,"Paktia, Afghanistan",61%,364 of 596,50%,,5.65,2.09,64%,0.00,2.50,0.23,86%,12:53
Stephen Bass,10,1,0,69.00,,40,United States,52%,73 of 140,0%,,4.87,0.00,55%,0.00,5.87,0.00,,15:00
Shayna Baszler,15,10,0,67.00,67.00,42,United States,31%,111 of 362,18%,,2.49,0.67,51%,0.00,6.36,1.34,44%,08:56
Bahatebole Batebolati,1,0,0,,,25,"Xinjiang, China",47%,32 of 68,100%,,4.34,2.04,64%,0.00,4.62,0.00,100%,07:22
Cameron Bates,,,,,,,,,,100%,,,,,,,,,
Michel Batista,0,1,0,75.00,,39,Cuba,,,100%,,0.00,6.72,40%,0.00,4.03,0.00,,02:14
Bryan Battle,11,2,0,73.00,77.00,28,United States,55%,216 of 395,25%,2 of 12,4.52,0.94,43%,0.63,3.73,0.63,45%,07:58
Alan Baudot,8,3,0,75.00,79.00,35,"Lyon, France",59%,167 of 285,,,5.36,0.00,47%,0.48,4.82,0.00,63%,07:47
Mario Bautista,12,2,0,69.00,72.00,29,"Winnemucca, United States",52%,381 of 737,50%,1 of 26,5.32,2.72,53%,0.21,4.20,1.26,57%,07:58
Chris Beal,10,3,0,66.00,69.00,37,United States,36%,226 of 629,58%,,3.45,1.60,62%,0.23,3.18,0.23,78%,13:06
Donavan Beard,0,1,0,,,33,"Hot Springs, United States",0%,0 of 1,,,0.00,0.00,29%,0.00,5.77,0.00,,00:52
Ariel Beck,4,5,0,66.50,66.00,32,"Deer Lodge, United States",34%,35 of 102,,,4.44,0.00,64%,0.00,4.31,0.00,,07:53
Johnny Bedford,19,13,1,70.00,,40,"Oregon, United States",51%,186 of 368,63%,,4.53,1.83,63%,1.10,1.75,0.00,63%,06:51
Rolando Bedoya,14,3,0,71.00,74.98,26,"Callao Region, Peru",56%,261 of 467,0%,,8.70,0.00,53%,0.00,6.83,0.00,,15:00
Allan Begosso,0,1,0,,,27,,40%,27 of 67,,,1.80,0.00,34%,0.00,7.73,2.00,25%,15:00
Mirsad Bektic,13,4,0,68.00,70.00,32,"Srebrenica, Bosnia &amp; Herzegovina",42%,247 of 591,53%,17 of 51,2.43,3.98,58%,0.29,1.80,0.44,92%,10:10
Diana Belbita,15,7,0,67.00,68.00,26,"Drobeta-Turnu Severin, Romania",43%,512 of 1193,63%,1 of 8,6.59,0.97,52%,0.19,6.43,0.00,69%,12:57
Alan Belcher,17,7,0,74.00,75.00,39,United States,42%,372 of 889,27%,,2.70,0.44,60%,0.33,3.10,0.87,55%,09:11
Vitor Belfort,26,14,0,72.00,74.00,46,"Rio de Janeiro, Brazil",46%,351 of 756,60%,3 of 25,1.59,1.02,51%,0.75,2.83,0.61,54%,07:21
Yousri Belgaroui,0,1,0,,,31,,48%,33 of 69,,,2.20,0.00,51%,0.00,3.20,0.00,75%,15:00
Cody Belisle,,,,,,30,,48%,33 of 69,,,,,,,,,,
Rodolfo Bellato,12,2,0,75.00,75.50,27,Brazil,62%,179 of 289,25%,1 of 8,6.47,1.09,44%,0.54,5.90,0.54,100%,09:13
Danilo Belluardo,12,5,0,72.00,74.50,28,"Marsala, Italy",62%,13 of 21,100%,2 of 2,1.52,3.50,41%,0.00,4.79,0.00,50%,04:17
Marco Beltran,8,7,0,68.00,69.50,37,Mexico,38%,134 of 357,50%,3 of 6,2.07,0.70,63%,0.23,1.93,0.23,46%,10:47
Joey Beltran,14,9,0,73.00,75.00,41,"San Diego, United States",37%,583 of 1572,19%,,4.58,0.59,54%,0.00,6.41,0.00,76%,12:44
Joseph Benavidez,28,8,0,64.00,65.00,38,"San Antonio, United States",35%,1161 of 3338,31%,16 of 101,3.52,1.41,61%,0.36,2.67,0.59,62%,11:23
Dave Beneteau,0,0,0,0.00,,,"Windsor, Canada",,,31%,16 of 101,,,,,,,,
Gabriel Benitez,23,11,0,68.00,71.00,35,"Tijuana, Mexico",42%,530 of 1277,50%,1 of 4,4.79,0.27,65%,0.54,4.05,1.08,58%,08:31
DeAnna Bennett,8,3,1,64.00,68.00,38,"Fremont, United States",58%,47 of 81,0%,,3.13,0.00,58%,0.00,3.27,1.00,,15:00
Lance Benoist,7,2,0,71.00,72.00,34,United States,51%,221 of 432,33%,,3.68,1.50,57%,0.25,2.70,0.00,62%,15:00
Ryan Benoit,10,8,0,65.00,68.50,33,"San Diego, United States",39%,306 of 782,22%,1 of 9,2.88,0.28,58%,0.71,3.65,0.42,72%,11:49
Steve Berger,15,6,3,71.00,,50,United States,23%,13 of 57,33%,,0.62,0.72,36%,0.00,5.60,2.15,17%,06:58
Kenneth Bergh,6,0,0,74.00,76.00,34,,75%,18 of 24,0%,,4.56,0.00,29%,0.00,1.27,0.00,,03:57
Keith Berish,5,1,0,72.00,73.50,37,"Poughkeepsie, United States",36%,61 of 168,40%,2 of 5,3.58,1.76,63%,0.00,4.81,0.00,,08:32
Manny Bermudez,14,2,0,70.00,71.50,28,"Boston, United States",61%,86 of 140,55%,1 of 11,2.92,3.06,47%,0.51,2.68,3.06,,05:53
Dennis Bermudez,18,9,0,66.00,66.00,36,"Saugerties, United States",46%,870 of 1881,40%,46 of 127,4.42,3.89,59%,0.38,3.07,1.07,83%,11:35
Talita Bernardo,6,4,0,64.00,68.00,36,"State of Rio de Janeiro, Brazil",42%,174 of 413,22%,4 of 27,3.12,1.62,56%,0.00,4.04,0.54,29%,13:56
Dave Berry,0,0,0,0.00,,,United States,,,22%,4 of 27,,,,,,,,
Dieusel Berto,0,0,0,0.00,,,United States,,,22%,4 of 27,,,,,,,,
Allen Berube,2,1,0,68.00,,48,United States,80%,4 of 5,100%,,0.92,6.87,33%,0.00,0.92,3.44,,04:22
Anton Berzin,5,2,0,74.00,,33,"Kremenchuk, Ukraine",47%,66 of 141,29%,,4.40,2.00,67%,0.00,6.80,1.00,,15:00
Scott Bessac,0,0,0,0.00,,,United States,,,29%,,,,,,,,,
Matt Bessette,22,9,0,70.00,70.50,38,"Hartford, United States",41%,204 of 493,29%,,4.36,0.64,59%,0.32,4.45,0.32,61%,09:21
Khadzhimurat Bestaev,0,1,0,,,34,Russia,30%,8 of 27,,,6.15,0.00,43%,0.00,10.00,0.00,,01:18
KB Bhullar,8,2,0,76.00,78.00,31,"Edmonton, Canada",49%,72 of 146,,,4.31,0.00,45%,0.00,5.39,0.00,,08:21
Magomed Bibulatov,14,2,0,65.00,65.50,34,"Chechnya, Russia",51%,114 of 223,40%,2 of 15,3.60,2.85,52%,0.00,1.83,0.00,75%,10:33
David Bielkheden,13,7,0,70.00,,44,"Stockholm, Sweden",57%,44 of 77,64%,,1.11,2.65,55%,0.00,1.64,0.00,14%,09:55
Blake Bilder,8,1,1,,,32,United States,50%,165 of 327,10%,1 of 10,4.96,0.45,57%,0.00,4.54,0.90,100%,11:05
Jonas Bilharinho,1,0,0,71.00,75.50,33,,60%,52 of 86,,,3.71,0.00,58%,1.07,3.36,0.00,100%,14:00
Xie Bin,0,2,0,,,25,"Hunan, China",39%,35 of 89,45%,,2.24,4.81,59%,0.00,3.08,0.00,,07:48
Anthony Birchak,16,8,0,68.00,69.00,37,"Tucson, United States",37%,123 of 336,14%,,3.93,0.48,57%,0.96,3.67,0.48,62%,05:13
Chris Birchler,7,4,0,75.00,,36,"Livingston, United States",47%,41 of 88,,,9.35,0.00,35%,0.00,14.83,0.00,,04:23
Michael Bisping,31,9,0,73.00,75.50,44,"England, United Kingdom",38%,1610 of 4223,43%,26 of 60,4.33,1.05,65%,0.40,2.71,0.32,63%,11:37
Amaury Bitetti,0,0,0,0.00,,54,Brazil,,,43%,26 of 60,,,,,,,,00:00
Caio Bittencourt,0,1,0,70.00,75.00,32,,17%,1 of 6,,,0.29,0.00,33%,0.00,0.57,0.00,,03:29
Simon Biyong,0,0,0,,,32,,17%,1 of 6,,,,,,,,,,00:00
Jan Błachowicz,29,10,1,74.00,78.00,40,"Cieszyn, Poland",50%,894 of 1783,50%,12 of 38,3.41,1.09,53%,0.34,2.91,0.34,69%,13:06
Jason Black,22,4,1,68.00,,50,"Ottumwa, United States",42%,10 of 24,0%,,0.44,0.00,45%,0.00,3.55,5.92,29%,11:25
Brad Blackburn,15,11,1,70.00,,46,"Los Angeles, United States",36%,294 of 827,50%,,4.55,0.93,65%,1.16,3.59,0.70,77%,12:55
Sherrard Blackledge,1,1,0,,,29,"Baltimore, United States",50%,111 of 223,33%,,3.70,4.00,55%,0.00,3.13,0.00,43%,15:00
Tom Blackledge,10,7,0,75.00,,,"Wigan, United Kingdom",62%,8 of 13,,,2.91,0.00,46%,0.00,2.55,0.00,75%,02:45
Da'Mon Blackshear,14,6,1,70.00,72.00,28,United States,47%,247 of 525,38%,1 of 24,4.28,2.34,49%,0.00,4.09,0.78,67%,11:32
Erin Blanchfield,12,1,0,64.00,66.00,24,United States,53%,351 of 665,36%,10 of 33,5.58,2.86,62%,0.00,3.32,1.19,83%,10:29
Maximo Blanco,12,8,1,68.00,71.00,39,Venezuela,44%,366 of 828,37%,,4.11,1.85,66%,0.34,3.19,0.34,64%,08:54
Curtis Blaydes,17,4,0,76.00,80.00,32,"Naperville, United States",50%,558 of 1119,53%,33 of 116,3.56,5.93,60%,0.19,1.89,0.00,33%,09:14
Tereza Bleda,7,1,0,69.00,71.00,21,"Cheb, Czechia",53%,125 of 235,28%,1 of 18,3.02,1.81,47%,0.36,1.86,0.72,83%,13:49
Byron Bloodworth,6,3,0,68.00,,39,United States,28%,25 of 88,0%,,1.82,0.00,50%,0.00,5.18,0.00,,06:51
Dashawn Boatwright,3,2,0,72.00,76.00,35,"Long Island, United States",0%,0 of 1,,,0.00,0.00,13%,0.00,52.50,0.00,,00:08
Daniel Bobish,0,0,0,0.00,,53,"Cleveland, United States",0%,0 of 1,,,,,,,,,,
Mark Bocek,12,5,0,68.00,75.00,41,"Toronto, Canada",44%,347 of 795,37%,,2.34,3.65,61%,0.00,2.32,1.32,31%,11:23
Kyle Bochniak,8,5,0,67.00,70.00,36,"Beverly, United States",31%,276 of 879,15%,5 of 52,2.63,1.14,58%,0.14,5.11,0.00,63%,15:00
James Bochnovic,8,3,0,76.00,81.00,34,"Glen Ellyn, United States",27%,8 of 30,0%,,0.65,0.00,21%,0.00,3.64,0.00,,06:11
Tim Boetsch,21,13,0,72.00,74.00,42,"Camden, United States",51%,635 of 1253,34%,21 of 61,2.93,1.45,57%,0.48,2.90,0.76,59%,09:02
Galore Bofando,5,3,0,71.00,72.00,41,,45%,23 of 51,100%,,3.63,2.37,55%,2.37,3.63,0.00,50%,03:10
Roman Bogatov,10,1,0,68.00,73.50,32,"Kostanay, Kazakhstan",43%,50 of 117,9%,,3.33,1.00,45%,0.00,4.40,0.00,50%,15:00
Jerry Bohlander,0,0,0,0.00,,49,"Napa, United States",,,9%,,,,,,,,,
Mandy Böhm,8,2,0,67.00,71.00,33,"Gelsenkirchen, Germany",45%,105 of 232,18%,,2.51,0.72,60%,0.00,3.24,0.72,75%,13:58
Gaston Bolanos,7,3,0,67.00,70.50,30,"Lima, Peru",50%,63 of 127,,,4.20,0.00,56%,0.00,1.13,0.00,40%,15:00
Denys Bondar,16,5,0,66.00,69.00,30,"Kharkiv, Ukraine",46%,80 of 175,50%,1 of 6,4.89,2.75,57%,0.00,6.42,0.00,63%,08:11
Ismael Bonfim,19,4,0,68.00,71.50,27,"Brasilia, Brazil",58%,133 of 231,29%,1 of 7,4.91,1.11,77%,1.11,2.66,0.00,82%,09:02
Gabriel Bonfim,15,1,0,73.00,72.50,25,"Brasilia, Brazil",40%,77 of 192,71%,,4.87,4.75,59%,0.00,5.25,3.80,100%,03:57
Jesse Bongfeldt,15,5,1,72.00,,42,Canada,62%,58 of 93,33%,,2.91,1.51,50%,0.00,1.01,0.00,33%,09:57
Stephan Bonnar,17,8,0,76.00,80.00,46,"Hammond, United States",38%,532 of 1386,40%,,2.76,1.32,52%,0.16,3.01,1.01,60%,11:20
Michael Bonnette,,,,,,34,,,,40%,,,,,,,,,
Rogerio Bontorin,17,4,0,65.00,67.00,31,"State of São Paulo, Brazil",53%,204 of 387,60%,1 of 25,2.63,2.90,50%,0.00,3.27,0.97,52%,11:04
Branden Bordeaux,,,,,,,,,,60%,1 of 25,,,,,,,,
Ray Borg,13,5,0,64.00,63.00,29,"Tucson, United States",52%,263 of 504,50%,22 of 90,1.52,3.89,48%,0.00,1.93,1.04,47%,14:27
Kevin Borjas,9,2,0,65.00,68.00,25,"Lima, Peru",41%,162 of 391,0%,,5.40,0.00,50%,0.00,6.63,0.00,56%,15:00
Calen Born,7,1,0,68.00,73.00,35,"KCMO, United States",,,0%,,,,,,,,,00:00
Caio Borralho,15,1,0,70.00,75.00,30,"State of Maranhão, Brazil",59%,228 of 389,63%,1 of 19,2.73,2.16,61%,0.36,1.98,0.54,57%,11:55
Zach Borrego,0,1,0,,,26,"San Antonio, United States",,,63%,1 of 19,0.00,0.00,33%,0.00,1.94,0.00,,01:02
Viacheslav Borshchev,7,3,1,71.00,69.00,31,"Volgograd, Russia",58%,360 of 616,,,5.82,0.00,56%,1.21,4.07,0.00,36%,10:19
Tanner Boser,21,10,1,74.00,75.50,32,"Bonnyville, Canada",53%,516 of 979,,,4.70,0.00,58%,0.27,2.75,0.00,63%,10:59
Steve Bosse,12,2,0,71.50,72.00,41,Canada,53%,98 of 185,33%,1 of 3,5.99,0.92,51%,0.92,5.38,0.00,100%,05:27
Marcus Bossett,0,0,0,0.00,,,United States,,,33%,1 of 3,,,,,,,,
Poliana Botelho,8,5,0,68.00,67.00,34,"State of Minas Gerais, Brazil",59%,204 of 348,57%,1 of 7,2.90,0.85,54%,0.21,2.80,0.00,77%,10:02
Tai Bowden,0,0,0,0.00,,,United States,,,57%,1 of 7,,,,,,,,
Melton Bowen,0,0,0,0.00,,53,"Irmo, United States",,,57%,1 of 7,,,,,,,,
Kyron Bowen,0,1,0,,,29,"Springfield, United States",57%,4 of 7,,,2.73,0.00,40%,0.00,2.05,0.00,,01:28
Brian Bowles,10,3,0,67.00,,,"Charleston, United States",27%,178 of 669,70%,,2.36,1.39,64%,1.00,2.98,1.39,55%,07:32
Roger Bowling,11,5,0,69.00,68.00,41,United States,47%,265 of 561,44%,,3.90,3.09,51%,0.22,3.86,0.88,27%,08:55
Anvar Boynazarov,0,1,0,,,34,Uzbekistan,0%,0 of 2,,,0.00,0.00,29%,0.00,7.83,0.00,,01:32
Kyle Bradley,14,7,0,69.00,,40,"Denham Springs, United States",40%,46 of 115,50%,,1.99,0.65,59%,0.00,3.45,0.00,40%,05:48
Paul Bradley,18,4,0,,,40,,32%,91 of 284,17%,,2.26,1.12,56%,0.00,4.13,0.00,100%,09:19
Sean Brady,16,1,0,70.00,72.00,31,"Philadelphia, United States",53%,327 of 613,58%,2 of 33,3.77,3.29,61%,0.17,3.55,1.21,88%,12:24
Ebenezer Braga,0,0,0,0.00,,54,"Rio de Janeiro, Brazil",,,58%,2 of 33,,,,,,,,
Ramiz Brahimaj,10,4,0,70.00,72.00,30,"The Bronx, United States",41%,78 of 188,67%,4 of 6,2.47,1.90,51%,0.00,4.08,2.37,58%,07:55
Joe Brammer,7,2,1,68.00,,39,"Des Moines, United States",32%,40 of 126,50%,,2.15,0.81,57%,0.00,2.80,0.00,50%,09:18
David Branch,22,6,0,73.00,78.00,41,"Bronx, United States",40%,137 of 344,33%,11 of 43,1.66,2.55,57%,0.18,1.91,0.00,44%,09:09
Diego Brandao,24,11,0,67.00,68.00,36,Brazil,48%,233 of 486,68%,,2.94,3.21,62%,0.57,3.38,0.57,81%,07:56
Bruna Brasil,9,3,1,66.00,65.50,29,"Paranavaí, Brazil",69%,111 of 161,67%,,3.44,1.86,53%,0.47,3.94,0.00,54%,10:45
Martin Bravo,12,3,0,68.00,71.50,29,"Rosarito, Mexico",40%,221 of 559,36%,3 of 14,7.66,2.60,51%,0.52,5.72,0.00,86%,07:13
Mike Breeden,11,6,0,70.00,70.00,34,"Springfield, United States",45%,263 of 583,30%,,5.75,0.98,43%,0.33,7.28,0.00,68%,09:09
Tom Breese,12,3,0,75.00,73.50,31,"Birmingham, United Kingdom",51%,188 of 369,0%,,3.34,0.00,61%,1.07,2.81,1.07,71%,07:02
Elves Brener,16,3,0,70.00,72.50,26,"Maués, Brazil",47%,150 of 322,20%,,4.64,0.93,55%,0.93,5.05,0.00,86%,10:46
Chris Brennan,11,5,1,68.00,,44,"Compton, United States",35%,8 of 23,0%,,0.53,0.00,50%,0.00,2.27,1.00,25%,15:00
Charlie Brenneman,19,8,0,70.00,72.00,42,"Hollidaysburg, United States",57%,129 of 228,42%,,1.52,4.23,47%,0.00,1.55,0.00,73%,07:44
Marcos Brigagao,0,0,0,,,27,,43%,46 of 106,0%,,3.07,0.00,26%,0.00,3.27,0.00,36%,15:00
Jason Brilz,18,5,1,71.00,71.00,47,"Bismarck, United States",40%,185 of 459,25%,,2.66,2.37,65%,0.00,1.78,1.29,25%,09:56
Marcus Brimage,7,5,0,64.00,71.00,38,United States,36%,319 of 896,100%,,3.97,0.56,57%,0.37,3.64,0.00,80%,10:03
Aaron Brink,8,3,0,75.00,,48,United States,0%,0 of 5,0%,,0.00,0.00,57%,0.00,19.64,0.00,,00:55
Henry Briones,19,8,1,68.00,69.00,42,"Tijuana, Mexico",43%,178 of 417,0%,,3.47,0.00,53%,0.29,4.68,0.58,52%,10:16
Kaik Brito,0,1,0,,,26,,38%,42 of 110,,,2.80,0.00,55%,0.00,3.87,2.00,56%,15:00
Joanderson Brito,16,3,1,68.00,72.00,28,"Santa Helena, Brazil",52%,132 of 256,75%,2 of 12,3.32,3.40,48%,0.38,2.62,0.76,50%,06:37
Antwain Britt,0,0,0,73.00,,45,United States,,,75%,2 of 12,,,,,,,,
Jarred Brooks,14,2,0,63.00,62.00,30,"Warsaw, United States",46%,112 of 243,57%,16 of 28,2.12,4.54,63%,0.00,1.66,0.57,69%,13:14
Will Brooks,18,4,0,70.00,72.00,36,"Chicago, United States",59%,493 of 835,52%,7 of 31,4.26,2.08,56%,0.00,2.54,0.26,83%,14:27
Rob Broughton,15,7,1,74.00,,40,"St. Helens, United Kingdom",60%,118 of 196,0%,,2.83,0.00,52%,0.00,2.54,3.24,27%,13:54
Todd Brown,15,3,0,71.00,,46,"Mishawaka, United States",45%,43 of 95,0%,,2.15,0.00,49%,0.00,3.85,0.00,50%,10:00
Humberto Brown,4,5,0,70.00,71.00,38,Panama,50%,18 of 36,25%,,1.71,1.43,62%,0.00,2.19,0.00,,10:30
Matt Brown,26,19,0,72.00,75.00,42,"Xenia, United States",55%,1039 of 1874,47%,23 of 66,3.76,1.68,55%,0.60,2.92,1.30,64%,09:13
Damien Brown,17,12,0,70.00,68.50,38,,39%,242 of 627,27%,3 of 11,3.66,0.68,50%,0.45,4.86,0.68,54%,11:01
Mike Brown,26,9,0,66.00,70.00,47,"Portland, United States",45%,359 of 800,40%,,2.98,3.23,61%,0.25,2.45,0.62,67%,08:37
TJ Brown,17,11,0,69.00,72.00,33,"Pine Bluff, United States",45%,385 of 865,58%,15 of 45,3.37,3.41,49%,0.00,2.89,1.31,37%,12:42
Randy Brown,17,5,0,75.00,78.00,33,"Spanish Town, Jamaica",48%,743 of 1564,39%,5 of 23,4.38,0.80,54%,0.35,3.33,0.53,74%,10:36
Travis Browne,18,7,1,78.50,79.00,40,"Honolulu, United States",41%,400 of 964,69%,11 of 16,2.93,1.21,43%,0.66,4.31,0.22,75%,08:02
Junie Browning,3,2,0,69.00,,39,"Lexington, United States",48%,32 of 66,67%,,3.76,3.53,67%,0.00,1.76,3.53,,04:15
Jules Bruchez,0,1,0,72.00,,45,"Lafayette, United States",50%,1 of 2,,,0.69,0.00,47%,0.00,5.52,0.00,,01:27
Stephanie Bruna,0,0,1,,,,,57%,87 of 152,100%,,5.80,1.00,61%,0.00,2.33,0.00,83%,15:00
Cody Brundage,10,5,0,72.00,72.00,29,"Chapin, United States",56%,100 of 180,53%,1 of 19,1.80,2.69,43%,0.54,2.51,1.08,73%,06:11
Steve Bruno,13,5,0,70.00,,41,"Brooklyn, United States",52%,37 of 71,25%,,0.96,1.94,36%,0.00,3.38,0.39,46%,12:55
Derek Brunson,23,9,0,73.00,77.00,39,"Wilmington, United States",47%,688 of 1452,33%,13 of 123,3.51,3.14,51%,0.54,3.05,0.61,86%,08:37
Josh Bryant,10,2,0,70.00,,43,"Broken Arrow, United States",20%,9 of 45,0%,,1.10,0.00,43%,0.00,6.10,0.00,,08:12
Dennis Bryant,5,2,0,73.00,72.00,37,"Yuba City, United States",59%,19 of 32,,,10.56,0.00,14%,0.00,10.56,0.00,,01:48
Robert Bryczek,0,0,0,,,33,,59%,19 of 32,,,,,,,,,,00:00
Lukasz Brzeski,8,4,1,75.00,78.00,31,"Zakopane, Poland",48%,238 of 491,50%,,5.08,0.64,57%,0.00,3.46,0.64,43%,11:43
Justin Buchholz,9,5,0,72.00,,39,"Fairbanks, United States",27%,89 of 335,0%,,2.35,0.00,51%,0.40,4.14,0.79,33%,07:35
Joaquin Buckley,17,6,0,70.00,76.00,29,"St. Louis , United States",33%,424 of 1278,37%,7 of 30,3.87,1.51,58%,0.96,3.31,0.00,65%,09:58
Martin Buday,13,2,0,76.00,77.00,32,"Nitra, Slovakia",52%,293 of 561,25%,,5.17,0.26,55%,0.53,5.70,0.26,100%,09:27
Paul Buentello,25,12,0,74.00,,49,"Amarillo, United States",46%,132 of 285,50%,,3.18,0.36,52%,1.08,7.32,0.72,39%,06:55
Modestas Bukauskas,15,6,0,75.00,76.00,29,"Klaipeda, Lithuania",41%,215 of 522,0%,,3.28,0.00,50%,0.00,3.87,0.00,71%,09:22
Felipe Bunes,0,0,0,66.97,,33,"Natal, Brazil",,,0%,,,,,,,,,00:00
Wuliji Buren,10,8,0,69.00,69.00,34,"Inner Mongolia, China",43%,66 of 155,43%,6 of 21,1.61,3.28,56%,0.00,3.02,0.37,78%,10:17
Shane Burgos,15,3,0,71.00,75.50,32,"New York, United States",52%,1040 of 1984,44%,2 of 9,7.40,0.43,56%,0.64,6.78,0.43,92%,12:46
Joshua Burkman,29,17,0,70.00,72.00,43,United States,44%,543 of 1245,37%,34 of 92,2.69,2.53,52%,0.15,3.13,0.30,73%,10:37
Justin Burlinson,0,1,0,73.00,74.00,26,"Sunderland, United Kingdom",40%,2 of 5,,,1.24,0.00,62%,0.00,3.09,9.28,100%,01:37
Nate Burnard,,,,,,25,"Meridian, United States",40%,2 of 5,,,,,,,,,,
Mads Burnell,9,3,0,68.00,69.00,29,Denmark,42%,50 of 120,47%,9 of 19,1.28,3.45,51%,0.00,2.71,0.38,22%,13:02
Mikey Burnett,0,0,0,66.00,,49,"Tulsa, United States",,,47%,9 of 19,,,,,,,,
Gilbert Burns,22,6,0,70.00,71.00,36,"Niterói, Brazil",49%,855 of 1760,36%,13 of 92,3.36,1.95,55%,0.24,3.34,0.53,48%,12:06
Kevin Burns,8,4,0,71.00,,43,"Carroll, United States",39%,145 of 373,50%,,2.74,0.28,53%,0.57,4.30,0.85,48%,10:34
Herbert Burns,11,4,0,69.00,73.50,35,"Niterói, Brazil",51%,37 of 72,75%,1 of 8,1.61,3.92,31%,0.65,4.74,3.26,60%,04:36
Nah-Shon Burrell,9,3,0,71.00,76.00,33,"Philadelphia, United States",48%,234 of 491,0%,,4.83,0.00,56%,0.00,3.45,0.31,52%,11:49
Martin Buschkamp,9,0,0,69.00,70.00,32,"Itapira, Brazil",,,0%,,,,,,,,,00:00
Bubba Bush,8,3,0,72.00,73.00,37,United States,56%,10 of 18,50%,,0.63,2.82,26%,0.00,7.01,0.00,60%,08:00
Dakota Bush,8,4,0,70.00,73.50,29,"St. Louis, United States",39%,52 of 134,33%,,2.77,2.40,42%,0.00,4.42,0.00,,09:24
Murilo Bustamante,11,1,1,73.00,,56,Brazil,33%,195 of 593,33%,,1.33,2.46,60%,0.21,1.90,1.23,55%,12:25
Todd Butler,0,0,0,0.00,,,"Curwensville, United States",,,33%,,,,,,,,,
